,0
bedrooms,0.18003379
bathrooms,0.090048164
accommodates,0.08649772
room_type_Private room,0.07142829
minimum_nights,0.05884258
property_type_Private room in loft,0.057495918
property_type_Private room in rental unit,0.05712341
room_type_Hotel room,0.048715334
property_type_Room in hotel,0.031054247
room_type_Entire home/apt,0.025741689
longitude,0.016995646
reviews_per_month,0.01697436
availability_90,0.016794711
review_scores_rating,0.01611537
maximum_nights,0.015785994
property_type_Entire condo,0.013959848
latitude,0.013439034
beds,0.012809365
property_type_Entire rental unit,0.012575628
number_of_reviews,0.01249105
availability_365,0.012410068
availability_60,0.012233766
property_type_Entire home,0.011612652
host_is_superhost,0.010206802
availability_30,0.00991465
host_listings_count,0.009168106
property_type_Entire serviced apartment,0.00909932
room_type_Shared room,0.008472137
property_type_Entire villa,0.007828492
property_type_Room in boutique hotel,0.0072285123
property_type_Private room in castle,0.007106997
property_type_Private room in bed and breakfast,0.006593653
property_type_Entire loft,0.005950752
property_type_Entire townhouse,0.0053707603
property_type_Private room in boat,0.004754993
property_type_Private room in home,0.0047084475
property_type_Room in aparthotel,0.0038667133
property_type_Private room in townhouse,0.0034657624
property_type_Private room in casa particular,0.002472851
property_type_Private room in condo,0.0018260663
property_type_Private room in guesthouse,0.0006613296
property_type_Shared room in hostel,0.00012500136
host_since,0.0
host_response_rate,0.0
host_response_time,0.0
host_neighbourhood,0.0
host_total_listings_count,0.0
host_acceptance_rate,0.0
property_type_Barn,0.0
property_type_Camper/RV,0.0
property_type_Casa particular,0.0
property_type_Entire place,0.0
property_type_Entire cabin,0.0
property_type_Entire guest suite,0.0
property_type_Entire guesthouse,0.0
instant_bookable,0.0
property_type_Private room in hostel,0.0
property_type_Private room in guest suite,0.0
property_type_Entire vacation home,0.0
property_type_Private room in nature lodge,0.0
property_type_Private room in shipping container,0.0
property_type_Private room in tiny home,0.0
property_type_Private room in villa,0.0
property_type_Room in serviced apartment,0.0
property_type_Tiny home,0.0
property_type_Shared room in hotel,0.0
property_type_Shared room in rental unit,0.0
